"data","value"
"2017-01-01",3.250611111111111
"2017-01-02",3.2857
"2017-01-03",3.2652
"2017-01-04",3.2163
"2017-01-05",3.1991
"2017-01-06",3.2241
"2017-01-07",3.218777777777778
"2017-01-08",3.2116222222222226
"2017-01-09",3.1969
"2017-01-10",3.1961
"2017-01-11",3.1975
"2017-01-12",3.1881
"2017-01-13",3.2213
"2017-01-14",3.208955555555556
"2017-01-15",3.205855555555556
"2017-01-16",3.2418
"2017-01-17",3.2115
"2017-01-18",3.2309
"2017-01-19",3.1965
"2017-01-20",3.169
"2017-01-21",3.192377777777778
"2017-01-22",3.181177777777778
"2017-01-23",3.1633
"2017-01-24",3.1702
"2017-01-25",3.1702
"2017-01-26",3.178
"2017-01-27",3.141
"2017-01-28",3.1504555555555553
"2017-01-29",3.1453777777777776
"2017-01-30",3.127
"2017-01-31",3.1509
"2017-02-01",3.1295
"2017-02-02",3.124
"2017-02-03",3.1176
"2017-02-04",3.1258999999999997
"2017-02-05",3.124644444444444
"2017-02-06",3.116
"2017-02-07",3.1205
"2017-02-08",3.1175
"2017-02-09",3.1301
"2017-02-10",3.1157
"2017-02-11",3.1047777777777785
"2017-02-12",3.103533333333333
"2017-02-13",3.1115
"2017-02-14",3.085
"2017-02-15",3.0575
"2017-02-16",3.0892
"2017-02-17",3.1048
"2017-02-18",3.083733333333333
"2017-02-19",3.083677777777778
"2017-02-20",3.087
"2017-02-21",3.0951
"2017-02-22",3.064
"2017-02-23",3.0595
"2017-02-24",3.111
"2017-02-25",3.0979111111111113
"2017-02-26",3.1011111111111114
"2017-02-27",3.109
"2017-02-28",3.1091
"2017-03-01",3.09
"2017-03-02",3.1565
"2017-03-03",3.1158
"2017-03-04",3.1327555555555553
"2017-03-05",3.136144444444444
"2017-03-06",3.1386
"2017-03-07",3.1195
"2017-03-08",3.1631
"2017-03-09",3.1932
"2017-03-10",3.1395
"2017-03-11",3.144177777777778
"2017-03-12",3.1389777777777774
"2017-03-13",3.153
"2017-03-14",3.1685
"2017-03-15",3.1037
"2017-03-16",3.1185
"2017-03-17",3.0918
"2017-03-18",3.113777777777778
"2017-03-19",3.108844444444444
"2017-03-20",3.0726
"2017-03-21",3.0884
"2017-03-22",3.088
"2017-03-23",3.1395
"2017-03-24",3.1086
"2017-03-25",3.1149222222222224
"2017-03-26",3.1205555555555557
"2017-03-27",3.1265
"2017-03-28",3.1412
"2017-03-29",3.1199
"2017-03-30",3.1496
"2017-03-31",3.1233
"2017-04-01",3.125788888888889
"2017-04-02",3.127977777777778
"2017-04-03",3.1147
"2017-04-04",3.0939
"2017-04-05",3.1203
"2017-04-06",3.1427
"2017-04-07",3.1462
"2017-04-08",3.1285777777777777
"2017-04-09",3.1319222222222223
"2017-04-10",3.132
"2017-04-11",3.1372
"2017-04-12",3.1258
"2017-04-13",3.1444
"2017-04-14",3.1448
"2017-04-15",3.1323888888888893
"2017-04-16",3.1341888888888887
"2017-04-17",3.0985
"2017-04-18",3.108
"2017-04-19",3.1522
"2017-04-20",3.1486
"2017-04-21",3.1482
"2017-04-22",3.142933333333333
"2017-04-23",3.1516111111111105
"2017-04-24",3.128
"2017-04-25",3.1471
"2017-04-26",3.1723
"2017-04-27",3.1835
"2017-04-28",3.1766
"2017-04-29",3.165488888888889
"2017-04-30",3.1709777777777775
"2017-05-01",3.1765
"2017-05-02",3.1517
"2017-05-03",3.1652
"2017-05-04",3.1885
"2017-05-05",3.1774
"2017-05-06",3.1728444444444444
"2017-05-07",3.1667666666666667
"2017-05-08",3.198
"2017-05-09",3.1902
"2017-05-10",3.1678
"2017-05-11",3.1403
"2017-05-12",3.1218
"2017-05-13",3.170533333333333
"2017-05-14",3.176633333333333
"2017-05-15",3.1113
"2017-05-16",3.0964
"2017-05-17",3.138
"2017-05-18",3.371
"2017-05-19",3.2529
"2017-05-20",3.2286333333333337
"2017-05-21",3.2451666666666665
"2017-05-22",3.2656
"2017-05-23",3.2705
"2017-05-24",3.2784
"2017-05-25",3.2736
"2017-05-26",3.2601
"2017-05-27",3.259977777777778
"2017-05-28",3.2580555555555555
"2017-05-29",3.2567
"2017-05-30",3.2577
"2017-05-31",3.2266
"2017-06-01",3.2506
"2017-06-02",3.2483
"2017-06-03",3.2606444444444445
"2017-06-04",3.2651333333333334
"2017-06-05",3.2969
"2017-06-06",3.2778
"2017-06-07",3.2695
"2017-06-08",3.2617
"2017-06-09",3.2971
"2017-06-10",3.2873
"2017-06-11",3.2868999999999997
"2017-06-12",3.3181
"2017-06-13",3.3154
"2017-06-14",3.2742
"2017-06-15",3.275
"2017-06-16",3.2933
"2017-06-17",3.307177777777778
"2017-06-18",3.3099444444444446
"2017-06-19",3.2828
"2017-06-20",3.327
"2017-06-21",3.3363
"2017-06-22",3.3425
"2017-06-23",3.343
"2017-06-24",3.3140222222222224
