"data","value"
"2021-07-01",5.0476
"2021-07-02",5.0575
"2021-07-03",4.9908
"2021-07-04",5.024120000000001
"2021-07-05",5.091
"2021-07-06",5.1969
"2021-07-07",5.2315
"2021-07-08",5.2579
"2021-07-09",5.194325
"2021-07-10",5.194325
"2021-07-11",5.214824999999999
"2021-07-12",5.173
"2021-07-13",5.1622
"2021-07-14",5.0706
"2021-07-15",5.1118
"2021-07-16",5.1147
"2021-07-17",5.12646
"2021-07-18",5.142239999999999
"2021-07-19",5.2519
"2021-07-20",5.2205
"2021-07-21",5.1874
"2021-07-22",5.2003
"2021-07-23",5.2006
"2021-07-24",5.212140000000001
"2021-07-25",5.196980000000001
"2021-07-26",5.1761
"2021-07-27",5.169
"2021-07-28",5.1157
"2021-07-29",5.0812
"2021-07-30",5.2123
"2021-07-31",5.15086
"2021-08-01",5.15058
"2021-08-02",5.1747
"2021-08-03",5.1967
"2021-08-04",5.1685
"2021-08-05",5.2488
"2021-08-06",5.2301
"2021-08-07",5.20376
"2021-08-08",5.21544
"2021-08-09",5.2331
"2021-08-10",5.1895
"2021-08-11",5.2185
"2021-08-12",5.2524
"2021-08-13",5.2466
"2021-08-14",5.228019999999999
"2021-08-15",5.2333
"2021-08-16",5.2595
"2021-08-17",5.2948
"2021-08-18",5.3794
"2021-08-19",5.4142
"2021-08-20",5.377
"2021-08-21",5.3449800000000005
"2021-08-22",5.36912
"2021-08-23",5.3802
"2021-08-24",5.2463
"2021-08-25",5.2117
"2021-08-26",5.2522
"2021-08-27",5.1996
"2021-08-28",5.258000000000001
"2021-08-29",5.2187600000000005
"2021-08-30",5.184
"2021-08-31",5.1492
"2021-09-01",5.1858
"2021-09-02",5.1819
"2021-09-03",5.1923
"2021-09-04",5.17864
"2021-09-05",5.1757
"2021-09-06",5.1693
"2021-09-07",5.1692
"2021-09-08",5.3214
"2021-09-09",5.1976
"2021-09-10",5.2454
"2021-09-11",5.22058
"2021-09-12",5.229660000000001
"2021-09-13",5.2147
"2021-09-14",5.2398
"2021-09-15",5.2219
"2021-09-16",5.2535
"2021-09-17",5.2883
"2021-09-18",5.24364
"2021-09-19",5.2655
"2021-09-20",5.324
"2021-09-21",5.2699
"2021-09-22",5.2888
"2021-09-23",5.303
"2021-09-24",5.3344
"2021-09-25",5.3040199999999995
"2021-09-26",5.3175
"2021-09-27",5.3914
"2021-09-28",5.4293
"2021-09-29",5.4157
"2021-09-30",5.4428
"2021-10-01",5.3639
"2021-10-02",5.408620000000001
"2021-10-03",5.42104
"2021-10-04",5.4535
"2021-10-05",5.4748
"2021-10-06",5.4912
"2021-10-07",5.5188
"2021-10-08",5.5082
"2021-10-09",5.4893
"2021-10-10",5.505940000000001
"2021-10-11",5.5367
"2021-10-12",5.5325
"2021-10-13",5.5133
"2021-10-14",5.5132
"2021-10-15",5.4611
"2021-10-16",5.511360000000001
"2021-10-17",5.50636
"2021-10-18",5.5117
"2021-10-19",5.5844
"2021-10-20",5.5975
"2021-10-21",5.6577
"2021-10-22",5.6474
"2021-10-23",5.599740000000001
"2021-10-24",5.6086599999999995
"2021-10-25",5.5563
"2021-10-26",5.5666
"2021-10-27",5.538
"2021-10-28",5.6464
"2021-10-29",5.6372
"2021-10-30",5.588900000000001
"2021-10-31",5.61394
"2021-11-01",5.6815
"2021-11-02",5.6795
"2021-11-03",5.5525
"2021-11-04",5.602
"2021-11-05",5.5428
"2021-11-06",5.61166
"2021-11-07",5.58416
"2021-11-08",5.544
"2021-11-09",5.4804
"2021-11-10",5.491
"2021-11-11",5.3989
"2021-11-12",5.4588
"2021-11-13",5.47462
"2021-11-14",5.45732
"2021-11-15",5.4575
"2021-11-16",5.5028
"2021-11-17",5.5292
"2021-11-18",5.5576
"2021-11-19",5.6135
"2021-11-20",5.532120000000001
"2021-11-21",5.55792
"2021-11-22",5.5865
"2021-11-23",5.5712
"2021-11-24",5.6061
"2021-11-25",5.5664
"2021-11-26",5.6098
"2021-11-27",5.587999999999999
"2021-11-28",5.59104
"2021-11-29",5.6017
"2021-11-30",5.6239
"2021-12-01",5.6955
"2021-12-02",5.6462
"2021-12-03",5.6532
"2021-12-04",5.6441
"2021-12-05",5.66158
"2021-12-06",5.6891
"2021-12-07",5.6128
"2021-12-08",5.5327
"2021-12-09",5.5727
"2021-12-10",5.6127
"2021-12-11",5.604000000000001
"2021-12-12",5.602259999999999
"2021-12-13",5.6804
"2021-12-14",5.6815
"2021-12-15",5.6806
"2021-12-16",5.6884
"2021-12-17",5.6961
"2021-12-18",5.6854
"2021-12-19",5.69782
"2021-12-20",5.7425
"2021-12-21",5.7451
"2021-12-22",5.654
"2021-12-23",5.6749
"2021-12-24",5.6753
"2021-12-25",5.69836
"2021-12-26",5.6748400000000006
"2021-12-27",5.6249
"2021-12-28",5.6283
"2021-12-29",5.7032
"2021-12-30",5.571
"2021-12-31",5.5703
